"LibraryName", "LibraryPath", "LibraryPathGeneric", "ExecutableName", "ExecutablePath", "ExecutablePathGeneric", "Type"
"iscsiexe.dll","C:\Windows\System32\iscsiexe.dll","%SYSTEM32%\iscsiexe.dll","iscsicpl.exe","C:\Windows\System32\iscsicpl.exe","%SYSTEM32%\iscsicpl.exe","Search Order"
"iscsiexe.dll","C:\Windows\SysWOW64\iscsiexe.dll","%SYSWOW64%\iscsiexe.dll","iscsicpl.exe","C:\Windows\System32\iscsicpl.exe","%SYSTEM32%\iscsicpl.exe","Search Order"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","certutil.exe","C:\Windows\System32\certutil.exe","%SYSTEM32%\certutil.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","cipher.exe","C:\Windows\System32\cipher.exe","%SYSTEM32%\cipher.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","dcdiag.exe","C:\Windows\System32\dcdiag.exe","%SYSTEM32%\dcdiag.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","dfsrdiag.exe","C:\Windows\System32\dfsrdiag.exe","%SYSTEM32%\dfsrdiag.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","dnscmd.exe","C:\Windows\System32\dnscmd.exe","%SYSTEM32%\dnscmd.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","dsacls.exe","C:\Windows\System32\dsacls.exe","%SYSTEM32%\dsacls.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","dsadd.exe","C:\Windows\System32\dsadd.exe","%SYSTEM32%\dsadd.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","dsdbutil.exe","C:\Windows\System32\dsdbutil.exe","%SYSTEM32%\dsdbutil.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","dsget.exe","C:\Windows\System32\dsget.exe","%SYSTEM32%\dsget.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","dsmgmt.exe","C:\Windows\System32\dsmgmt.exe","%SYSTEM32%\dsmgmt.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","dsquery.exe","C:\Windows\System32\dsquery.exe","%SYSTEM32%\dsquery.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","gpresult.exe","C:\Windows\System32\gpresult.exe","%SYSTEM32%\gpresult.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","licmgr.exe","C:\Windows\System32\licmgr.exe","%SYSTEM32%\licmgr.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","netdom.exe","C:\Windows\System32\netdom.exe","%SYSTEM32%\netdom.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","nltest.exe","C:\Windows\System32\nltest.exe","%SYSTEM32%\nltest.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","ntdsutil.exe","C:\Windows\System32\ntdsutil.exe","%SYSTEM32%\ntdsutil.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","rendom.exe","C:\Windows\System32\rendom.exe","%SYSTEM32%\rendom.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","repadmin.exe","C:\Windows\System32\repadmin.exe","%SYSTEM32%\repadmin.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","setspn.exe","C:\Windows\System32\setspn.exe","%SYSTEM32%\setspn.exe","Sideloading"
"ntdsapi.dll","C:\Windows\System32\ntdsapi.dll","%SYSTEM32%\ntdsapi.dll","w32tm.exe","C:\Windows\System32\w32tm.exe","%SYSTEM32%\w32tm.exe","Sideloading"
"ntdsapi.dll","C:\Windows\SysWOW64\ntdsapi.dll","%SYSWOW64%\ntdsapi.dll","certutil.exe","C:\Windows\System32\certutil.exe","%SYSTEM32%\certutil.exe","Sideloading"
