"LibraryName", "LibraryPath", "LibraryPathGeneric", "ExecutableName", "ExecutablePath", "ExecutablePathGeneric", "Type"
"mimetools.dll","C:\Program Files\Notepad++\plugins\mimetools.dll","%PROGRAMFILES%\Notepad++\plugins\mimetools.dll","notepad++.exe","C:\Program Files\Notepad++\notepad++.exe","%PROGRAMFILES%\Notepad++\notepad++.exe","Sideloading"
"mimetools.dll","C:\Program Files\Notepad++\plugins\mimetools\mimetools.dll","%PROGRAMFILES%\Notepad++\plugins\mimetools\mimetools.dll","notepad++.exe","C:\Program Files\Notepad++\notepad++.exe","%PROGRAMFILES%\Notepad++\notepad++.exe","Sideloading"
"qt5network.dll","C:\Program Files\LSoft Technologies\Active@ Data Studio\qt5network.dll","%PROGRAMFILES%\LSoft Technologies\Active@ Data Studio\qt5network.dll","PasswordChanger.exe","C:\Program Files\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","Sideloading"
"qt5network.dll","C:\Program Files\LSoft Technologies\Active@ File Recovery\qt5network.dll","%PROGRAMFILES%\LSoft Technologies\Active@ File Recovery\qt5network.dll","PasswordChanger.exe","C:\Program Files\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","Sideloading"
"qt5network.dll","C:\Program Files\LSoft Technologies\Active@ Disk Editor\qt5network.dll","%PROGRAMFILES%\LSoft Technologies\Active@ Disk Editor\qt5network.dll","PasswordChanger.exe","C:\Program Files\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","Sideloading"
"qt5network.dll","C:\Program Files\LSoft Technologies\Active@ Password Changer\qt5network.dll","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\qt5network.dll","PasswordChanger.exe","C:\Program Files\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","Sideloading"
"qt5network.dll","C:\Program Files\LSoft Technologies\Active@ ISO Manager\qt5network.dll","%PROGRAMFILES%\LSoft Technologies\Active@ ISO Manager\qt5network.dll","PasswordChanger.exe","C:\Program Files\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","Sideloading"
"qt5network.dll","C:\Program Files\LSoft Technologies\Active@ UNERASER\qt5network.dll","%PROGRAMFILES%\LSoft Technologies\Active@ UNERASER\qt5network.dll","PasswordChanger.exe","C:\Program Files\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","Sideloading"
"qt5network.dll","C:\Program Files\LSoft Technologies\Active@ KillDisk 25\qt5network.dll","%PROGRAMFILES%\LSoft Technologies\Active@ KillDisk 25\qt5network.dll","PasswordChanger.exe","C:\Program Files\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","Sideloading"
"qt5network.dll","C:\Program Files\LSoft Technologies\Active@ UNDELETE\qt5network.dll","%PROGRAMFILES%\LSoft Technologies\Active@ UNDELETE\qt5network.dll","PasswordChanger.exe","C:\Program Files\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","Sideloading"
"qt5network.dll","C:\Program Files\LSoft Technologies\Active@ Disk Monitor\qt5network.dll","%PROGRAMFILES%\LSoft Technologies\Active@ Disk Monitor\qt5network.dll","PasswordChanger.exe","C:\Program Files\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","Sideloading"
"qt5network.dll","C:\Program Files\LSoft Technologies\Active@ Partition Manager\qt5network.dll","%PROGRAMFILES%\LSoft Technologies\Active@ Partition Manager\qt5network.dll","PasswordChanger.exe","C:\Program Files\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","%PROGRAMFILES%\LSoft Technologies\Active@ Password Changer\PasswordChanger.exe","Sideloading"
"qt5core.dll","C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\qt5core.dll","%PROGRAMFILES%\Electronic Arts\EA Desktop\EA Desktop\qt5core.dll","EASteamProxy.exe","C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EASteamProxy.exe","%PROGRAMFILES%\Electronic Arts\EA Desktop\EA Desktop\EASteamProxy.exe","Sideloading"
